ORIGINAL,REPLACEMENT,OCCURRENCE
LIVIAL,PITAVASTATIN,227
STILLNOX,DIGOXIN,14
BETACAROTENE,ATENOLOL,130
GINKGOLD,GINKGO BILOBA,4
SENIOR VITAMINS,PEMOLINE,11
SPECTRAVITE,CEFDITOREN,14
AZULFIDINE (SULFASALIZINE),SULFASALAZINE,2
ANTALVIC,PROPOXYPHENE,9
BELUSTINE,LOMUSTINE,39
PROCARBAZINE HYDROCHLORIDE,PROCARBAZINE,706
ORTHOCLONE OKT3,MUROMONAB,227
VALIUM/NET/(DIAZEPAM),DIAZEPAM,4
"INSULIN INSULATARD (INSULIN INJECTION, ISOPHANE) INJECTION",INSULIN ASPART,2
DEFLAZACORT,HYDROCORTISONE,812
METAXALONE,METHANTHELINE,586
"MELPHALAN (MELPHALAN,)",MELPHALAN,1
OXYCODONE HYDROCHLORIDE (SIMILAR TO NDA 20-553) (OXYCODONE HYDROCLORID,OXYCODONE,1
"ACETAMINOPHEN W/HYDROCODONE BITARTRATE (PARACETAMOL, HYDROCODONE)",ACETAMINOPHEN,2
MORPHINE SULFATE (SIMILAR TO NDA 190516)(MORPHINE SULFATE),MORPHINE,1
ERGOTAMINE (ERGOTAMINE TARTRATE),ERGOTAMINE,1
NOVOBIN,"INSULIN, ISOPHANE",1
BROMHEXINE HYDROCHLORIDE,MORPHINE,149
CLEAMINE,ETHANOL,15
EPINASTINE HYDROCHLORIDE,EPINASTINE,559
CISAPRIDE (CISAPRIDE),CISAPRIDE,38
AKINETON RETARD (BIPERIDEN HYDROCHLORIDE) TABLETS,BIPERIDEN,2
KLONOPRIN,CLONAZEPAM,6
GEMCITABINE LILY,GEMCITABINE,1
BUFFERIN (ACETYLSALICYLIC ACID/ALUMINUM GLYCINATE/MAGNESIUM CARBONATE,ACETYLSALICYLIC ACID,1
LEXIVA,FOSAMPRENAVIR,772
INTERFERON ALPHA 2B (INTERFERON ALFA-2B) (NR),INTERFERON BETA-1B,1
"LANOXIN (DIGOXIN), UNSPECIFIED, UNKNOWN",DIGOXIN,1
"LIDOCAINE (LIDOCAINE), UNSPECIFIED, UNKNOWN",LIDOCAINE,1
"NADROPARIN CALCIUM (NADROPARIN CALCIUM), UNSPECIFIED, UNKNOWN",NADROPARIN,1
"TORADOL (KETOROLAC TROMETHAMINE), UNSPECIFIED, UNKNOWN",KETOROLAC,1
STELAZINE,TRIFLUOPERAZINE,766
TEMARIL,TEMOCAPRIL,4
AMPRENAVIR (AMPRENAVIR) (KA),AMPRENAVIR,2
LOPINAVIR AND RITONAVIR (KALETRA) (KA),LOPINAVIR,2
ALOSETRON HYDROCHLORIDE,ALOSETRON,6
ATENOLOLUM,ATENOLOL,21
PREDNISONA,PREDNISONE,38
ABACAVIR SULPHATE,ABACAVIR,37
TOLTERODINE L-TARTRATE,TOLTERODINE,5
CALCIUM ACETATE (CALCIUM ACETATE),CALCIUM ACETATE,79
MINOCYCLINE HYDROCHLORIDE (MINOCYCLINE HYDROCHORIDE),MINOCYCLINE,1
ZYVOXID (LINEZOLID),LINEZOLID,5
QUETIAPINE (,QUETIAPINE,1
KETANEST (KETAMINE),KETAMINE,10
CEFIZOX,CEFTIZOXIME,23
NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE,276
WELLBUTRIN (UNSPECIFIED) BUPROPION HYDROCHLORIDE,BUPROPION,1
CIPRO HC,CIPROFLOXACIN,42
BENAZEPRIL HYDROCHLORIDE (BENAZEPRIL),BENAZEPRIL,1
"GLUCOSAMINE W/CHONDROITIN SULFATES (ASCORBIC ACID, MANGANESE, CHONDROI",N-ACETYL-D-GLUCOSAMINE,6
TOPROL (METOPROLOL),METOPROLOL,170
NOVANTRONE  LEDERLE  (MITOXANTRONE HYDROCHLORIDE),MITOXANTRONE,1
MAGNESIUM HYDROXIDE,MAGNESIUM SULFATE,202
XYLOCAINE VISCOUS,LIDOCAINE,134
HYGROTON,CHLORTHALIDONE,453
INHIBACE,CILAZAPRIL,209
INTERFERON-ALPHA-2B (INTERFERON ALFA-2B),INTERFERON BETA-1B,2
"INFLIXIMAB, RECOMBINANT-BLINDED (INFLIXIMAB, RECOMVINANT) LYOPHILIZED ",INFLIXIMAB,1
DIDRONEL PMO ^NORWICH EATON^,ETIDRONIC ACID,43
LITALIR,HYDROXYUREA,43
AMINO ACID INJ,PAROMOMYCIN,160
DOPEGYT,METHYLDOPA,29
HYDROXYZINE EMBONATE,HYDROXYZINE,49
THERALENE (ALIMEMAZINE TARTRATE),TRIMEPRAZINE,49
MITOTANE (MITOTANE),MITOTANE,3
OXYMETAZOLINE HYDROCHLORIDE,OXYMETAZOLINE,39
TIAPROFENIC ACID (TIAPROFENIC ACID),TIAPROFENIC ACID,17
AMIKECIN,AMIKACIN,1
NEUIRAPINE,NEVIRAPINE,1
PANCREALIPASE,PANCRELIPASE,19
INSULIN GH,INSULIN GLARGINE,1
OCTREOTIDE GH,OCTREOTIDE,1
ACETYLSALICYLIC ACID - 81 MG,ACETYLSALICYLIC ACID,1
ALBUTEROL/ IPRATROPIUM,SALBUTAMOL,2
INTERFERON-ALPHA-2B(INTERFERON ALFA-2B),INTERFERON BETA-1B,1
LANSOPRAZOLE (LANZOPRAZOLE),LANSOPRAZOLE,6
CLARITHROMYCIN (CFLARITHROMYCIN),CLARITHROMYCIN,1
SYNERID,SULPIRIDE,1
ELECTROLYTE TABLETS,ALDOSTERONE,1
ULTRA ENERGY,TRAMADOL,1
CEFIPINE,CEFIXIME,3
VALCYCLOVIR,VALACICLOVIR,5
RABERPRAZOLE,RABEPRAZOLE,6
AMOXICILLIN - FORM,AMOXICILLIN,1
TIMOLOL GFS 0.5% FALCON,TIMOLOL,2
AMIKACIN SULFATE,AMIKACIN,797
CYCLOSPORINE MODIFIED,CYCLOSPORINE,10
GUAIFENESIN WITH CODEINE,GUAIFENESIN,11
INSULIN HUMAN REGULAR,INSULIN REGULAR,47
LIDOCAINE HCL 2% JELLY,LIDOCAINE,1
MEPERIDIEN HCL,MEPERIDINE,1
METHYLPREDNISOLONE SOD SUCC,METHYLPREDNISOLONE,6
METROPENEM,MEROPENEM,2
POTASSIUM PHOSPHATES,POTASSIUM,383
SODIUM PHOSPHATE,AMINOHIPPURATE,128
ABACAVIR (ABACAVIR SULFATE),ABACAVIR,1
FEMRING (ESTRADIOL ACETATE) VAGINAL RING,ESTRADIOL,2
AVAPRO HCT,IRBESARTAN,38
DALACINE,LIDOCAINE,211
CHLORPROTHIXENE HYDROCHLORIDE (CHLORPROTHIXENE HYDROCHLORIDE),CHLORPROTHIXENE,4
ADAPALENE (DIFFERIN),ADAPALENE,2
BENZACLIN,NITRAZEPAM,176
CLARITHROMYCIN (BIAXIN),CLARITHROMYCIN,6
CLINDAMYCIN PHOSPHATE (CLEOCIN T),CLINDAMYCIN,2
ERYTHROMYCIN (BENZAYCIN),ERYTHROMYCIN,1
SULFACETAMIDE SODIUM W/SULFUR,SULFACETAMIDE,2
PARACETAMOL BIOGARAN,ACETAMINOPHEN,7
BRONCHOKOD,GUAIFENESIN,98
TIORFAN,FURAZOLIDONE,263
CEFDITOREN PIVOXIL (CEFDITOREN PIVOXIL),CEFDITOREN,18
HALDOL DEC. 100MG/ML,HALOPERIDOL,1
BROMOCRIPTINE MESYLATE,BROMOCRIPTINE,534
CEFEPIME HCL,CEFEPIME,37
DEPRIVAN,CYANOCOBALAMIN,1
NEOSYNEPHRINE,PHENYLEPHRINE,120
POTASSIUM PHOSPHATE MONOBASIC,POTASSIUM,44
"AMIKACIN SULFATE INJECTION, USP",AMIKACIN,1
LIPRAM,ATORVASTATIN,76
"TEMOZOLOMIDE 5 MG, 100 MG, 250 MG",TEMOZOLOMIDE,1
DITROPAN                                /USA/,OXYBUTYNIN,30
TRIAMTERENE AND HYDROCHLOROTHIAZID,TRIAMTERENE,121
XYLOCAINE W/ EPINEPHRENE,LIDOCAINE,58
EPOETIN BETA (EPOETIN BETA),EPOETIN ALFA,79
ERYTHROPOETIN (ERYTHROPIETIN),EPOETIN ALFA,1
INTERLEUKIN-2 (INTERLEUKIN-2) (UNKNOWN),OPRELVEKIN,5
DAFALGAN (ACETAMINOPHEN),ACETAMINOPHEN,29
"INSULIN HUMAN INJECTION, ISOPHANE (INUSLIN HUMAN INJECTION, ISOPHANE)",INSULIN REGULAR,1
ALPRAZOLAM (TRANKINMAZIN),ALPRAZOLAM,1
LANSOPRAZOLE (ESTIMOL),LANSOPRAZOLE,1
NORFLOXACIN (NOROXIN),NORFLOXACIN,1
FLUMETHOLON,FLUOROMETHOLONE,163
AVANANDIA,ROSIGLITAZONE,1
"CALCIUM CARBONATE, ETIDRONATE DISODIUM (DIDROCAL)",CALCIUM CARBONATE,1
ETANERACEPT (ENBREL),ETANERCEPT,1
ALLOZYM (ALLOPURINOL),ALLOPURINOL,16
GLIBENCLAMIDE (DOANIL) TABLETS,GLYBURIDE,1
CANDESARTAN CILEXETIL (ATACAND) TABLETS,CANDESARTAN,1
DESOGEN,DESONIDE,153
LANSOPRAZOE,LANSOPRAZOLE,1
"VORICONAZOLE TABLETS (VFEND, PFIZER) 200 MG",VORICONAZOLE,1
TNKASE,TENECTEPLASE,150
SANDIMMUNE (CICLOSPORIN) SOLUTION,CYCLOSPORINE,1
CAPECITABINE ROCHE,CAPECITABINE,5
INSULIIN,INSULIN ASPART,4
IRINOTECAN - PHARMACIA,IRINOTECAN,1
CALECTIPAL,NIFEDIPINE,1
MINOPHILE,AMINOPHYLLINE,1
TOPERAMATE,TOPIRAMATE,2
XALATAN EYE GTTS,LATANOPROST,2
COMPAZINE (PROCHLORPERAZINE EDISYLATE) SUPPOSITORY,PROCHLORPERAZINE,2
COMPAZINE (TABLETS) PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE,2
AMPHETAMINE AND DEXTROAMPHETAMINE SALTS,AMPHETAMINE,368
OXYCONTIN (OXYCODONE HYDROCHLORIDE) TABLETS,OXYCODONE,8
PREDNISONE (TABLETS) PREDNISONE,PREDNISONE,5
VIREAD () IDOXURIDINE,TENOFOVIR,1
CLONIDINE PATCH (CLONIDINE),CLONIDINE,3
FERGON (FERROUS GLUCONATE),IRON,11
TIMOLOL (TIMOLOL MALEATE),TIMOLOL,12
XALATAN (LATANAPROST),LATANOPROST,1
ERYTHROPOEITIN (ERYTHROPOIETIN),EPOETIN ALFA,2
PROCRIT (UNSPECIFIED) ERYTHOPOEITIN,EPOETIN ALFA,1
ANZEMET () DOLASETRON MESILATE,DOLASETRON,1
PROCRIT () ERYTHROPOEITIN,EPOETIN ALFA,1
ACTONEL (RISENDRONATE SODIUM),RISEDRONATE,19
BREVITAL SODIUM INJ,METHOHEXITAL,14
DORMICUM (MIDAZOLAM HYDROCHLORIDE OR MIDAZOLAM MALEATE) 15 MG,MIDAZOLAM,1
METFORMIN/GLYBURIDE,METFORMIN,10
"VITAMIN B6, B12, FOLIC ACID",PYRIDOXAL,2
NEMBUTAL,PENTOBARBITAL,68
LEVOTHYTOXINE SODIUM,LEVOTHYROXINE,1
ASPIRIN ^BAYER^ - ACETYLSALICYLIC ACID - TABLET - 81 MG,ACETYLSALICYLIC ACID,2
HYDROCHLOROTHIAZICE/TRIAMTERENE,HYDROCHLOROTHIAZIDE,1
VITAMIN A/VITAMIN D,VITAMIN A,1
VITMAIN B12,CYANOCOBALAMIN,2
DIPHENHYDRAMINE + ACETOMINOPHEN,DIPHENHYDRAMINE,1
OXYBUTYNIN HYDROCHLORIDE,OXYBUTYNIN,141
PRIOXICAM,PIROXICAM,2
STERTRALINE,SERTRALINE,1
BETHANECHOL CHLORIDE,BETHANECHOL,92
CHLORDIAZEPOXIDE HCL,CHLORDIAZEPOXIDE,77
MEPREDNISONE,MEPROBAMATE,230
CARDIZEM CD (DILTIAZEM HYDRCHOLORIDE),DILTIAZEM,1
DURAGESCIC (FENTANYL),FENTANYL,1
FOSAMAX (ALDENDRONATE SODIUM),ALENDRONATE,8
LIDODERM (LIDOCAINE0,LIDOCAINE,1
RHINOCORT AQUA (BUDESONIDE),BUDESONIDE,50
LEVOXYL (LEVOTHROXINE SODIUM),LEVOTHYROXINE,8
VARDENAFIL 10 MG OR VARDENAFIL 20 MG OR PLACEBO (STUDY DRUG),VARDENAFIL,2
DI-HYDAN,PHENYTOIN,108
CEFTROL,CEFTAROLINE FOSAMIL,1
ZESTRIL / USA/(LISINOPRIL),LISINOPRIL,1
VITAMIN K (PHENYTOMENADIONE),MENADIONE,3
PONSTAN (MEFENAMIC ACID0,MEFENAMIC ACID,1
EURADAL (BISOPROLOL FUMARATE),BISOPROLOL,3
HUMABID LA,GUAIFENESIN,4
CALCIUM CARBONATE W/VITD,CALCIUM CARBONATE,1
VICKS FORMULA 44,DIPHENHYDRAMINE,14
ETHYLENE GLYCOL,ETHANOL,123
FLUOCINOMIDE,FLUOCINONIDE,3
METFORMEN 850 MG MUTUAL PHARMACY,METFORMIN,1
"ADRUCIL (FLUOROURACIL, FLUOROURACIL)",FLUOROURACIL,1
DEXTROMETHORPHAN / PSEUDOEPHEDRINE (PSEUDOEPHEDRINE / DEXTROMETHORPHAN,DEXTROMETHORPHAN,1
VITAMIN B12 (CYANOBALAMIN),THIAMINE,5
OXYTETRACYCLINE (OXYTETRACYCLINE),OXYTETRACYCLINE,2
SALBUTAMOL SULPHATE (SALBUTAMOL SULPHATE),SALBUTAMOL,3
CORICIDIN COUGH + COLD TABLET,ACETYLSALICYLIC ACID,1
OMEPRAZOLE (ASTRA),OMEPRAZOLE,2
CORICIDIN CHEST CONGESTION + COUGH (DEXTROMETHORPHAN) CAPSULES,ACETYLSALICYLIC ACID,1
BETAHISTINE HYDROCHLORIDE,BETAHISTINE,186
MENADIOL SODIUM DIPHOSPHATE,MENADIONE,1
FLUOXETINE CHLORHYDRATE,FLUOXETINE,3
VITAMIN B9,FOLIC ACID,3
OLMETEC 10,OLMESARTAN,4
CANESTEN 500MG PESSARY (CLOTRIMAZOLE),CLOTRIMAZOLE,5
EDEX,ALPROSTADIL,84
METOPROLOL SUCCINATE (TOPROL XL),METOPROLOL,6
PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN TABLETS 100 MG/650MG,PROPOXYPHENE,1
PRIMOLUT NOR(NORETHISTERONE ACETATE),NORETHINDRONE,1
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,126
SEREPAX,OXAZEPAM,77
STREPTOKINASE (STREPTOKINASE) (UNKNOWN),STREPTOKINASE,13
ANAKINRA (ANAKINRA),ANAKINRA,55
IOPIDINE,APRACLONIDINE,74
MALLOROL,THIORIDAZINE,11
ZANIDIP,NISOLDIPINE,836
FIORICET TABLETS,CAFFEINE,120
FILGRASTIM (FILGRASTIM),FILGRASTIM,369
VINDESINE (VINDESINE),VINDESINE,75
METOCLOPRAMIDE (METCLOPRAMIDE),METOCLOPRAMIDE,2
"PANTOLOC (PANTOPRAZOLE, INJECTION)",PANTOPRAZOLE,6
DARBEPOETIN (DARBEPOETIN ALFA),DARBEPOETIN ALFA,27
"TACROLIMUS, CONTROL FOR SIROLIMUS (TACROLIMUS, CONTROL FOR SIROLIMUS, ",TACROLIMUS,73
ALOSITOL (ALLOPURINOL) TABLETS,ALLOPURINOL,2
NORVASC (AMLODIPINE BESILATE) UNKNOWN,AMLODIPINE,2
CYCRIN,CYCLOSERINE,4647
ALFACALCIDOL (ALFACALCIDOL) CAPSULES,ALFACALCIDOL,1
ALLOPURINOL (ALLOPURINOL) SUSPENSION,ALLOPURINOL,1
CALCIUM CARBONATE (CALCIUM CARBONATE) TABLETS,CALCIUM CARBONATE,2
FUROSEMIDE (FUROSEMIDE) TABLETS,FUROSEMIDE,5
TERAZOSIN (TERAZOSIN) TABLETS,TERAZOSIN,1
"TACROLIMUS, CONTROL FOR SIROLIMUS (TACROLIMUS, CONTROL FOR SIROLIMUS U",TACROLIMUS,1
"TACROLIMUS (TACROLIMUS, , 0)",TACROLIMUS,9
"MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFEIL, )",MYCOPHENOLATE MOFETIL,1
MESALAZIN (MESALAZINE) TABLETS,MESALAZINE,1
SPIRIVA (TIOTROPIUM),TIOTROPIUM,1
NEBILOT,NEBIVOLOL,2
DIDRONEL PMO (TA),ETIDRONIC ACID,1
TRIPTAFEN (ETRAFON-D),SUMATRIPTAN,1
ACETYLCISTEIN,ACETYLCYSTEINE,2
BREVA,DOCOSANOL,70
CLENIL-A,BECLOMETASONE DIPROPIONATE,3
PROSCAR (TAF),FINASTERIDE,1
UROXATRAL (ALFUZOSIN HYDROCHLORIDE) (TAD),ALFUZOSIN,1
"CAMPTOSAR(ORINOTECAN) SOLUTION, STERILE",IRINOTECAN,1
ONE ALPHA (ALFACALCIDOL),ALFACALCIDOL,7
RHEUMATREX (CAPSULES) METHOTREXATE SODIUM,METHOTREXATE,4
OFLOXACIN HYDROCHLORIDE (OFLOXACIN HYDROCHLORIDE),OFLOXACIN,5
FLURBIPROFEN AXETIL (FLURBIPROFEN AXETIL),FLURBIPROFEN,17
CHLORPROMAZINE (CHLORPROMAZINE) INJECTION,CHLORPROMAZINE,1
HYDROXYZINE HYDROCHLORIDE (HYDROXYZINE HYDROCHLORIDE) UNKNOWN,HYDROXYZINE,1
MORPHINE HYDROCHLORIDE (MORPHINE HYDROCHLORIDE) UNKNOWN,MORPHINE,6
ROPIVACAINE (ROPIVACAINE),ROPIVACAINE,34
DICYCLOMINE HYDROCHLORIDE + ALUMINIUM OXIDE,DICYCLOMINE,1
NICOTINELL,NICOTINE,53
CODEIN,CODEINE,25
DIPYRIDAMOL,DIPYRIDAMOLE,64
AMITRIPTYLIN,AMITRIPTYLINE,115
AMINOPYRINE (AMIMNOPHENAZONE),AMINOPHENAZONE,1
DITROPAN /SCH/(OXYBUTYNIN HYDROCHLORIDE),OXYBUTYNIN,2
NOVORAPID PENFILL? 3 ML (NOVORAPID PENFILL? 3 ML) (INSULIN ASPART) SOL,INSULIN ASPART,1
CACIT,CAFFEINE,234
NITROFURANTOINE,NITROFURANTOIN,34
NOZINAN,METHOTRIMEPRAZINE,963
STAURODORM,FLURAZEPAM,25
CEFDITOREN PIVOXIL (SIMILAR TO NDA 21-222) (CEFDITOREN PIVOXIL) UNKNOW,CEFDITOREN,5
DEXA,DEXAMETHASONE,55
GLYCERYL TRINITRATE (DISCOTRINE) TRANSDERMAL SYSTEM,NITROGLYCERIN,1
DIHYDANTOIN,PHENYTOIN,11
POSICOR,MIBEFRADIL,7
ESCITALOPRAM (CITALOPRAM),ESCITALOPRAM,6
ZITHROMAX (AZITHROMYCIN) TABLETS,AZITHROMYCIN,1
LOXAPAC,LOXAPINE,322
AMINOSTERIL,AMISULPRIDE,11
FOSFOCIN,FOSFOMYCIN,6
KETANEST,KETAMINE,20
OTRIVEN,XYLOMETAZOLINE,14
"DOXORUBICIN, UNKNOWN STRENGTH, PHARMACIA",DOXORUBICIN,1
DOPAMAK,LEVODOPA,1
DOXORUBICIN UNKNOWON STRENGTH,DOXORUBICIN,1
BENDROFLUMETHAZIDE (BENDROFLUMETHIAZIDE),BENDROFLUMETHIAZIDE,3
COTRIM FORTE ^HEUMANN^,TRIMETHOPRIM,6
FORADIL P,FORMOTEROL,2
NITROGLYCERIN ^A.L.^ (GLYCERYL TRINITRATE),NITROGLYCERIN,31
CHLORDIAZEPOXIDE/CLIDINIUM,CHLORDIAZEPOXIDE,8
PSEUDOEPHEDRINE HCL W/GUAIFENESIN,PSEUDOEPHEDRINE,18
SINUS,AMPHOTERICIN B,5
"HUMULIN (INSULIN ISOPHANE, HUMAN BIOSYNTHETIC)","INSULIN, ISOPHANE",4
ALGINIC ACID,L-GLUTAMIC ACID,37
CARBOCYSTEINE,L-CYSTEINE,151
OXYCONTIN TABLETS (OXYCODONE HYDROCODONE) CR TABLET,OXYCODONE,2
ANAESTHETIC,BENZOCAINE,51
BEXTRA (BUCINDOLOL SODIUM),VALDECOXIB,1
ACETAMINOPHEN AND OXYCOCONE,ACETAMINOPHEN,8
TRICYCLIC ANTIDEPRESSANTS,PROCYCLIDINE,232
NITRO-BID,ISOSORBIDE DINITRATE,199
OPTIVAR OPHTHALMIC SOLUTION,AZELASTINE,15
PROPACETAMOL HYDROCHLORIDE,PROPOXYPHENE,11
AMINOPYRIDINE,AMINOPHENAZONE,76
GASTROM (ECABET MONOSODIUM) GRANULES,CIMETIDINE,9
VOLTAREN (GEL) DICLOFENAC SODIUM,DICLOFENAC,1
VOLTAREN SR (CAPSULES) DICLOFENAC SODIUM,DICLOFENAC,3
DOCETAXEL(DOCETAXEL),DOCETAXEL,39
CYCLOPHOSPHAMIDE(CYCLOPHOSPHAMIDE),CYCLOPHOSPHAMIDE,1
GINKOR,ISONIAZID,62
BELOC ZOK,METOPROLOL,716
TENORETIC,ATENOLOL,88
SEROSTIM,SOMATROPIN RECOMBINANT,158
GLYCERIN SUPPOSITORIES,GUAIFENESIN,20
GLUCOFAGE,METFORMIN,96
EPOPROSTENOL (EPOPROSTENOL),EPOPROSTENOL,29
OXYCODONE HYDROCHLORIDE (SIMILAR TO 20-553) (OXYCODONE HYDROCHLORIDE),OXYCODONE,3
VIRAZOLE,RIBAVIRIN,32
ASPIRIN (TABLETS) ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,1
METOPROLOL (TABLETS) METOPROLOL,METOPROLOL,1
NITRENDIPIN (NITRENDIPINE) TABLETS,NITRENDIPINE,2
PRISTINAMYCIN,VIRGINIAMYCIN M1,121
TAMOXIFEN (TAMOXIFEN),TAMOXIFEN,65
PANTOPRZOLE (PANTOPRAZOLE),PANTOPRAZOLE,1
CEFEPIME (CEFEPIME),CEFEPIME,90
VALSARTAN/HYDROCHLOROTHIAZIDE,VALSARTAN,75
ACETIC ACID WITH HYDROCORTISONE,ACETOHYDROXAMIC ACID,1
AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,AMLODIPINE,6
WATER,ETHANOL,85
AMLODIPINE + BENAZEPRIL HYDROCHLORIDE COMBINATION,AMLODIPINE,1
AK-PENTOLATE,CYCLOPENTOLATE,2
SYNTHROID (LEVOXYTHROXINE SODIUM),LEVOTHYROXINE,1
DICLOFENAC AND MISOPROSTOL,DICLOFENAC,3
PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,PROPOXYPHENE,315
TRIAMTERENE AND HYDROXYCHLOROTHIAZIDE,TRIAMTERENE,1
SOLARAZE,DICLOFENAC,50
MORPHINEL,MORPHINE,1
"STESOLID NOVUM,",DIAZEPAM,1
"DOPAMINE,",DOPAMINE,1
DANOCRINE,DANAZOL,24
MEDROL DOESPAK (METHYLPREDNISOLONE),METHYLPREDNISOLONE,1
SEROPRAM                 (CITALOPRAM HYDROBROMIDE),CITALOPRAM,2
PARNATE (TRANYLCPROMINE SULFATE),TRANYLCYPROMINE,1
PROCTOFOAM (PRAMOCAINE HYDROCHLORIDE),HYDROCORTISONE,8
ALLERGY MEDICATION,CHLORPHENIRAMINE,644
INTERFERON ALFA-2B INJECTABLE POWDER,INTERFERON BETA-1B,6
CALCIUM  FORTE D,LEUCOVORIN,1
DOLOQUINE,HYDROXYCHLOROQUINE,1
ZELNORM (ZELNORM),TEGASEROD,15
ROSIGLITAZONE (ROSIGLITAZONE),ROSIGLITAZONE,28
ACIPHEX (RABEPRZOLE SODIUM),RABEPRAZOLE,2
ENDURON (METHCLOTHIAZIDE),METHYCLOTHIAZIDE,1
CHOLESTEROL,COLESEVELAM,273
NEXIUM (BROMEPRAZOLE),ESOMEPRAZOLE,1
CALCIMATE,SALMON CALCITONIN,8
QUININE SULFATE),QUININE,1
NASACORT AQ (TRIAMCINOLONE ACETATE),TRIAMCINOLONE,3
MIRAPEX (MIRAPEX),PRAMIPEXOLE,36
THENOIC ACID,PHENOL,6
"MIACALCIN (CSLCITONIN, SALMON)",SALMON CALCITONIN,1
PROMETHAZINE HYDROCHLORIDE TAB,PROMETHAZINE,69
DIDRONEL ^AVENTIS PHARMA^ (ETIDRONATE DISODIUM),ETIDRONIC ACID,2
MMF,MYCOPHENOLATE MOFETIL,53
HALDOL DECANOATE 100,HALOPERIDOL,5
FOLVITE (FOLIC ACID),FOLIC ACID,33
BETA BLOCKER,ATENOLOL,564
LYSINE,ETHOPROPAZINE,386
(CLOPIDOGREL / ASPIRIN) - TABLET - UNIT DOSE : UNKNOWN,CLOPIDOGREL,1
(CLOPIDOGREL / ASPIRIN) - TABLET - UNIT DOSE : UNKNOWN / TABLET - UNIT,CLOPIDOGREL,1
(OXALIPLATIN) - 50 MG,OXALIPLATIN,1
MYSOLINE ^ICI^,PRIMIDONE,8
^ASTHMA INHALERS^,EPINEPHRINE,1
GLUCOSAMINE/CHONDROITIN,N-ACETYL-D-GLUCOSAMINE,321
ZYLORIC (ALLOPURINOL) (TABLETS),ALLOPURINOL,1
CODEINE PHOSPHATE (CODEINE PHOSPHATE) (TABLETS),CODEINE,1
CALAN SR (VERAPAMIL HYDROCHLORIDE),VERAPAMIL,6
ALDACTAZINE (ALDACTAZINE) (NR),SPIRONOLACTONE,1
LASIX P (NR),FUROSEMIDE,1
RALOXIFENE HYDROCHLORIDE (RALOXIFENE HYDROCHLORIDE),RALOXIFENE,4
(CAPECITABINE),CAPECITABINE,3
CIALIS ^LILLY^ (TADALAFIL),TADALAFIL,4
ELIDEL (PIMECROLIMUS),PIMECROLIMUS,5
ASTHMA MEDICATION,EPINEPHRINE,161
HORMONE,CHLOROTRIANISENE,68
(CLOPIDOGREL/ASPIRIN)     UNIT DOSE: UNKNOWN,CLOPIDOGREL,1
(CLOPIDOGREL/ASPIRIN)   UNIT DOSE: UNKNOWN,CLOPIDOGREL,1
ROBINUL FORTE,GLYCOPYRROLATE,38
(OXALIPLATIN) - SOLUTION - 100 MG/M2,OXALIPLATIN,13
ALDACTONE (SPIRONOLACTONES),SPIRONOLACTONE,1
DEPAMIDE (VALPROATE),PENICILLAMINE,1
"PALONOSETRON (PALONOSETRON HYDROCHLORIDE) INJECTION, 0.25MG/5ML",PALONOSETRON,1
(CAPECITABINE) - TABLET -2150 MG,CAPECITABINE,1
FONDAPARINUX SODIUM) - SOLUTION- UNIT DOSE: UNKNOWN,FONDAPARINUX SODIUM,1
THERALENE  (ALIMEMAZINE TARTRATE) DROPS- 1 MG,TRIMEPRAZINE,1
LEXOMIL - (BROMAZEPAM) - TABLET - 6 MG,BROMAZEPAM,6
PROCID,PROMETHAZINE,7
LIDOCAINE + MAALOX,LIDOCAINE,3
PEPCID COMPLETE,FAMOTIDINE,239
NITROPATCH,NITROGLYCERIN,22
TANAKAN    (GINKGO TREE LEAVES EXTRACT) - SOLUTION,CHLOROQUINE,1
XATRAL         (ALFUZOSIN),ALFUZOSIN,2
FANGARD,PROMETHAZINE,2
PREDOPA,LEVODOPA,134
RETAMAX,TAMOXIFEN,1
CLOPIDOGREL / ASPIRIN) -,CLOPIDOGREL,1
ERGENYL CHRONO (VALPROATE SODIUM/ VALPROATE ACID),VALPROIC ACID,1
BECONASE AQ,BECLOMETASONE DIPROPIONATE,76
POTASSIUM CHLORIDE SOLUTION,POTASSIUM,1
MIDAZOLAM MALEATE,MIDAZOLAM,8
SIBELIUM (FLUNARIZINE DIHYDROCHLORIDE),FLUNARIZINE,7
TRIAM HCTZ,TRIAMCINOLONE,3
CHOLESTEROL REDUCING AGENT,LOVASTATIN,98
TRION,TRIAMCINOLONE,1
IBUPROFEN (ANCOGRANULAT),IBUPROFEN,3
CORANGIN (ISOSORBIDE MONONITRATE),ISOSORBIDE MONONITRATE,4
NITROSORBON (ISOSORBIDE DINITRATE),ISOSORBIDE DINITRATE,3
PREDONISOLONE (PREDNISOLONE),PREDNISOLONE,2
FOLTX,METHOTREXATE,698
